'ID','REGION_ID','CONTRACT_DATE','CONTRACT','ACCOUNT','ACTUAL_FROM','ACTUAL_TO','ABONENT_TYPE','NAME_INFO_TYPE','FAMILY_NAME','GIVEN_NAME','INITIAL_NAME','UNSTRUCT_NAME','BIRTH_DATE','IDENT_CARD_TYPE_ID','IDENT_CARD_TYPE','IDENT_CARD_SERIAL','IDENT_CARD_NUMBER','IDENT_CARD_DESCRIPTION','IDENT_CARD_UNSTRUCT','BANK','BANK_ACCOUNT','FULL_NAME','INN','CONTACT','PHONE_FAX','STATUS','ATTACH','DETACH','NETWORK_TYPE','RECORD_ACTION','INTERNAL_ID1'
0,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','0'
1,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','1'
2,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','2'
3,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','3'
4,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','4'
5,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','5'
6,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','6'
7,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','7'
8,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','8'
9,,'','',0,,,42,1,'','','','ываыв',,1,'Паспорт','','','','','','','','','','',1,'','',4,'','9'
